Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
ICP,CT,ML,3,96030.8016566615,96281.77251808207,6.623522279729963,5.887922661840107,14.030522492248494,0.0,135836.25071038655,,,,14536.3401
ICP,MT,ML,3,121951.66276593356,122484.10450023439,4.359993009013293,2.7200857007087125,6.108197267446703,0.0,171329.24966153354,,,,28092.729563333338
ICP,ST,ML,3,89953.23979180277,90993.93094286969,5.0682540138781835,6.497042858843093,14.083467977361256,0.0,108754.09329016479,,,,17953.70372
NH4,CT,Bayes,2,18098.694332567124,20125.468218202986,0.9613473745126334,2.432804189501894,4.865608379003788,0.0,21139.771516472727,0.95,,,20934.647299999997
NH4,CT,ML,2,32584.558651438485,33570.46239157548,1.6035838536231506,4.058060198364568,8.116120396729135,0.0,23868.10783854088,,,,20934.647299999997
NH4,MT,Bayes,2,19749.059620931188,22155.77815342382,3.9348341662798143,2.7996300662273326,5.599260132454665,0.0,15819.831381232132,0.95,,,5630.67647
NH4,MT,ML,2,14342.04507336637,19012.61004757676,3.376612055207775,2.402455664524976,4.804911329049952,0.0,15342.901209503736,,,,5630.67647
NH4,ST,Bayes,2,18206.389307859376,22096.715953930303,3.4517945610542724,21.428210846035874,42.85642169207175,0.0,15852.709058107514,0.95,,,6401.515375000001
NH4,ST,ML,2,14116.8500167313,16591.857345700402,2.5918640155887154,16.089894003809157,32.17978800761831,0.0,13711.971298882272,,,,6401.515375000001
NO2,CT,Bayes,3,9138.362363267399,11578.243897916569,0.02119147847983455,0.007107519071363349,0.015123881109178604,0.6666666666666666,197174.01662762868,0.95,,,546363.19542
NO2,CT,ML,3,225266.34084381317,311581.35769798094,0.5702824793285395,0.1912699768328583,0.4069977667777984,0.0,284546.0147472087,,,,546363.19542
NO2,MT,Bayes,3,102216.40286695895,177044.00313250197,0.351473834247451,0.11715794474915034,0.24852953160600924,0.6666666666666666,114767.43704822725,0.95,,,503718.87145333336
NO2,MT,ML,3,457956.8643644752,694714.8380521259,1.3791717511947281,0.4597239170649094,0.9752216976907182,0.0,417965.71385205747,,,,503718.87145333336
